id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq,educ_binary
2,0,0,7,29,,,158413,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,548,0,15.0,,1.0,0.0,16,6.30627536773682,256,0
3,0,0,12,27,8.0,8.0,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35.0,93.0,1.0,1.0,9,6.17586708068848,81,0
4,0,0,12,34,14.0,12.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,721,0,42.0,103.0,1.0,1.0,16,6.5806393623352,256,0
5,1,1,11,27,11.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,25.0,88.0,1.0,1.0,10,5.52146100997925,100,0
6,1,1,12,34,8.0,7.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,729,0,34.0,108.0,1.0,0.0,16,6.59167385101318,256,0
7,1,1,12,26,9.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,38.0,85.0,1.0,1.0,8,6.21460819244385,64,0
8,1,1,18,33,14.0,14.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,565,0,41.0,119.0,1.0,1.0,9,6.33682584762573,81,1
9,1,1,14,29,14.0,14.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,608,0,46.0,108.0,1.0,1.0,9,6.41017484664917,81,1
10,1,1,12,28,12.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32.0,96.0,4.0,0.0,10,6.05208921432495,100,0
11,1,1,12,29,12.0,12.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,515,0,34.0,97.0,1.0,1.0,11,6.2441668510437,121,0
12,1,1,9,28,11.0,12.0,380166,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,225,0,29.0,84.0,1.0,0.0,13,5.41610050201416,169,0
13,1,1,12,26,11.0,6.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,400,0,34.0,89.0,1.0,1.0,8,5.99146461486816,64,0
